iter	Passed	Remaining
572	3515	2619
573	3523	2614
574	3531	2609
575	3538	2604
576	3545	2599
577	3551	2592
578	3557	2586
579	3564	2581
580	3572	2576
581	3579	2571
582	3586	2565
583	3592	2559
584	3598	2552
585	3604	2546
586	3611	2540
587	3618	2535
588	3626	2530
589	3633	2524
590	3638	2518
591	3646	2512
592	3653	2507
593	3659	2501
594	3664	2494
595	3670	2487
596	3676	2481
597	3681	2474
598	3687	2468
599	3692	2461
600	3698	2455
601	3704	2448
602	3709	2442
603	3715	2435
604	3720	2429
605	3728	2424
606	3734	2417
607	3740	2411
608	3748	2406
609	3753	2399
610	3761	2394
611	3767	2388
612	3773	2382
613	3781	2377
614	3786	2370
615	3794	2365
616	3800	2359
617	3807	2353
618	3814	2347
619	3819	2340
620	3827	2335
621	3832	2329
622	3838	2322
623	3845	2317
624	3851	2310
625	3858	2304
626	3863	2298
627	3868	2291
628	3874	2285
629	3879	2278
630	3884	2271
631	3890	2265
632	3895	2258
633	3900	2251
634	3905	2245
635	3911	2238
636	3916	2231
637	3922	2225
638	3927	2219
639	3932	2212
640	3938	2205
641	3943	2199
642	3948	2192
643	3953	2185
644	3959	2179
645	3964	2172
646	3969	2165
647	3974	2159
648	3980	2152
649	3985	2146
650	3990	2139
651	3996	2132
652	4001	2126
653	4006	2119
654	4012	2113
655	4017	2106
656	4024	2101
657	4029	2094
658	4035	2087
659	4040	2081
660	4045	2074
661	4051	2068
662	4056	2061
663	4062	2055
664	4068	2049
665	4074	2043
666	4079	2036
667	4085	2030
668	4090	2023
669	4095	2017
670	4101	2011
671	4106	2004
672	4112	1998
673	4117	1991
674	4122	1985
675	4129	1979
676	4135	1972
677	4140	1966
678	4146	1960
679	4151	1953
680	4157	1947
681	4162	1940
682	4167	1934
683	4173	1927
684	4178	1921
685	4184	1915
686	4189	1908
687	4194	1902
688	4200	1895
689	4205	1889
690	4210	1882
691	4216	1876
692	4221	1870
693	4226	1863
694	4232	1857
695	4237	1850
696	4242	1844
697	4248	1838
698	4253	1831
699	4259	1825
700	4265	1819
701	4271	1813
702	4276	1806
703	4281	1800
704	4287	1793
705	4292	1787
706	4300	1782
707	4305	1775
708	4311	1769
709	4348	1776
710	4355	1770
711	4360	1763
712	4371	1759
713	4376	1753
714	4385	1747
715	4390	1741
716	4397	1735
717	4403	1729
718	4408	1723
719	4416	1717
720	4422	1711
721	4429	1705
722	4436	1699
723	4441	1693
724	4447	1686
725	4452	1680
726	4458	1674
727	4464	1668
728	4470	1661
729	4475	1655
730	4481	1649
731	4486	1642
732	4491	1636
733	4496	1629
734	4501	1623
735	4507	1616
736	4517	1611
737	4522	1605
738	4527	1599
739	4533	1592
740	4538	1586
741	4543	1579
742	4549	1573
743	4555	1567
744	4560	1561
745	4566	1554
746	4572	1548
747	4579	1542
748	4585	1536
749	4590	1530
750	4598	1524
751	4604	1518
752	4612	1513
753	4619	1507
754	4625	1501
755	4633	1495
756	4638	1489
757	4647	1483
758	4652	1477
759	4659	1471
760	4665	1465
761	4671	1459
762	4680	1453
763	4686	1447
764	4692	1441
765	4699	1435
766	4704	1429
767	4712	1423
768	4717	1417
769	4724	1411
770	4730	1405
771	4736	1398
772	4743	1393
773	4749	1386
774	4755	1380
775	4760	1374
776	4765	1367
777	4770	1361
778	4775	1354
779	4780	1348
780	4786	1342
781	4791	1335
782	4796	1329
783	4801	1322
784	4807	1316
785	4812	1310
786	4817	1303
787	4823	1297
788	4828	1291
789	4834	1284
790	4839	1278
791	4845	1272
792	4850	1266
793	4856	1259
794	4862	1253
795	4867	1247
796	4873	1241
797	4878	1235
798	4884	1228
799	4890	1222
800	4895	1216
801	4900	1209
802	4906	1203
803	4911	1197
804	4917	1191
805	4923	1185
806	4929	1178
807	4934	1172
808	4940	1166
809	4945	1159
810	4950	1153
811	4956	1147
812	4961	1141
813	4967	1134
814	4972	1128
815	4977	1122
816	4983	1116
817	4988	1109
818	4994	1103
819	5000	1097
820	5005	1091
821	5010	1085
822	5016	1078
823	5022	1072
824	5027	1066
825	5032	1060
826	5038	1053
827	5043	1047
828	5048	1041
829	5054	1035
830	5059	1028
831	5065	1022
832	5070	1016
833	5076	1010
834	5082	1004
835	5088	998
836	5093	991
837	5099	985
838	5104	979
839	5110	973
840	5117	967
841	5122	961
842	5128	955
843	5134	948
844	5139	942
845	5145	936
846	5151	930
847	5156	924
848	5162	918
849	5169	912
850	5177	906
851	5184	900
852	5191	894
853	5196	888
854	5202	882
855	5207	876
856	5213	869
857	5219	863
858	5224	857
859	5230	851
860	5235	845
861	5241	839
862	5247	833
863	5252	826
864	5258	820
865	5264	814
866	5269	808
867	5274	802
868	5280	796
869	5286	789
870	5291	783
871	5297	777
872	5303	771
873	5308	765
874	5314	759
875	5319	753
876	5325	746
877	5331	740
878	5336	734
879	5342	728
880	5348	722
881	5353	716
882	5359	710
883	5367	704
884	5373	698
885	5379	692
886	5384	685
887	5390	679
888	5396	673
889	5401	667
890	5424	663
891	5432	657
892	5439	651
893	5446	645
894	5454	639
895	5461	633
896	5469	628
897	5477	622
898	5485	616
899	5490	610
900	5495	603
901	5501	597
902	5506	591
903	5511	585
904	5517	579
905	5522	572
906	5527	566
907	5532	560
908	5538	554
909	5543	548
910	5548	542
911	5553	535
912	5558	529
913	5564	523
914	5569	517
915	5574	511
916	5583	505
917	5595	499
918	5603	493
919	5612	488
920	5618	481
921	5625	475
922	5631	469
923	5636	463
924	5642	457
925	5647	451
926	5652	445
927	5657	438
928	5663	432
929	5669	426
930	5674	420
931	5679	414
932	5685	408
933	5690	402
934	5695	395
935	5701	389
936	5706	383
937	5711	377
938	5716	371
939	5722	365
940	5727	359
941	5732	352
942	5737	346
943	5743	340
944	5748	334
945	5754	328
946	5759	322
947	5764	316
948	5770	310
949	5775	303
950	5780	297
951	5786	291
952	5791	285
953	5796	279
954	5801	273
955	5806	267
956	5812	261
957	5817	255
958	5822	248
959	5828	242
960	5833	236
961	5839	230
962	5846	224
963	5878	219
964	5889	213
965	5899	207
966	5926	202
967	5939	196
968	5953	190
969	5966	184
970	5982	178
971	5991	172
972	6003	166
973	6011	160
974	6020	154
975	6028	148
976	6035	142
977	6041	135
978	6047	129
979	6054	123
980	6061	117
981	6068	111
982	6074	105
983	6081	98
984	6086	92
985	6092	86
986	6100	80
987	6108	74
988	6121	68
989	6135	61
990	6141	55
991	6150	49
992	6157	43
993	6167	37
994	6173	31
995	6179	24
996	6187	18
997	6197	12
998	6203	6
999	6209	0
