iter	RMSE
0	0.3887707232
1	0.3776429035
2	0.3672821256
3	0.3577713789
4	0.3482058387
5	0.339748468
6	0.331816608
7	0.3235806628
8	0.3159572869
9	0.3084440055
10	0.3014886149
11	0.2941538462
12	0.2878983128
13	0.2810577491
14	0.2748608848
15	0.2694585735
16	0.2635871654
17	0.2582003127
18	0.2530135024
19	0.2477264701
20	0.2427239561
21	0.2380521037
22	0.2334340459
23	0.2289013235
24	0.2244588965
25	0.2203964971
26	0.2163755404
27	0.2123938006
28	0.2088476331
29	0.2057767627
30	0.2024627266
31	0.1990897834
32	0.1961570828
33	0.1933703025
34	0.1906961056
35	0.188082726
36	0.1858856419
37	0.183085567
38	0.1809111578
39	0.1786609199
40	0.1763744688
41	0.1743547233
42	0.1717533194
43	0.1695986965
44	0.1675291568
45	0.1655856094
46	0.1635776826
47	0.1613953026
48	0.1594959781
49	0.1577163333
50	0.1561581957
51	0.1547231253
52	0.1531763567
53	0.1519148833
54	0.1504930112
55	0.1491204131
56	0.1477332239
57	0.1463178043
58	0.1448403742
59	0.1435673863
60	0.1426329729
61	0.1415099656
62	0.1405737278
63	0.1394344777
64	0.1383879221
65	0.1375804585
66	0.1366581027
67	0.1358336861
68	0.1347913349
69	0.1338299844
70	0.1330444531
71	0.1322036231
72	0.1313778307
73	0.1305402257
74	0.1297437756
75	0.1290394587
76	0.128338509
77	0.1276790423
78	0.1270261901
79	0.1263787142
80	0.1257731648
81	0.1251252559
82	0.1244903329
83	0.1238761033
84	0.1233119729
85	0.1227741843
86	0.1222341796
87	0.1217629053
88	0.1211691023
89	0.1205733716
90	0.1200613412
91	0.1195368476
92	0.1189003078
93	0.1183413219
94	0.1179232414
95	0.1175419226
96	0.1170907457
97	0.1165757602
98	0.1162702669
99	0.1158475153
100	0.1153387804
101	0.1148596947
102	0.1145517941
103	0.1142055034
104	0.1137733754
105	0.1134500795
106	0.1131747693
107	0.1128035327
108	0.1126680411
109	0.1122893027
110	0.1119428935
111	0.1115756254
112	0.1111504892
113	0.1107309641
114	0.1104677055
115	0.1102052627
116	0.1099309472
117	0.1096495295
118	0.1094660917
119	0.1092101329
120	0.1089056458
121	0.1085631359
122	0.1082579626
123	0.1080650948
124	0.1077663418
125	0.107480033
126	0.1071518605
127	0.1069564134
128	0.106670957
129	0.1063952062
130	0.1060895749
131	0.1058313612
132	0.1055505501
133	0.1052848472
134	0.1049583562
135	0.1047644259
136	0.1045430596
137	0.1043164768
138	0.1040870021
139	0.1038703563
140	0.1036636027
141	0.1034554467
142	0.1033138528
143	0.1030992524
144	0.1028527447
145	0.1026872065
146	0.102505195
147	0.1022678434
148	0.1020141716
149	0.1018183771
150	0.101610405
151	0.1014587942
152	0.1013307228
153	0.1010670979
154	0.1008347061
155	0.1005458291
156	0.1002832851
157	0.1001583233
158	0.09996224804
159	0.09973600248
160	0.09963093743
161	0.09944208699
162	0.09929693494
163	0.09903776925
164	0.09880615716
165	0.09867269827
166	0.09852636044
167	0.09843794235
168	0.09827035635
169	0.09809742367
170	0.097917018
171	0.09778026874
172	0.09762221099
173	0.09745252632
174	0.097310275
175	0.09718034441
176	0.09702352357
177	0.09683447301
178	0.09663688934
179	0.09646369679
180	0.09630424976
181	0.09600942418
182	0.09583816699
183	0.0956415937
184	0.09550142146
185	0.09535072637
186	0.09515722354
187	0.09493677223
188	0.09487775512
189	0.09467004379
190	0.09446820136
191	0.09428636516
192	0.09408835495
193	0.09389097681
194	0.09374662241
195	0.09360148254
196	0.09351349656
197	0.09341505469
198	0.09328682042
199	0.09316425116
200	0.0931016573
201	0.09301183052
202	0.0928981794
203	0.09280341073
204	0.09265874131
205	0.09252698181
206	0.09234127795
207	0.09224715218
208	0.09214683973
209	0.09202640301
210	0.0919719643
211	0.09176706588
212	0.0916577164
213	0.09156851265
214	0.09144545909
215	0.09126684914
216	0.09107473026
217	0.09089882968
218	0.09066408276
219	0.09049919658
220	0.09037597873
221	0.09022860535
222	0.09001406193
223	0.08993910978
224	0.08977002945
225	0.08967201713
226	0.08954217229
227	0.08935014487
228	0.08921496829
229	0.08900640974
230	0.08891237297
231	0.08881340758
232	0.08870578561
233	0.08849839043
234	0.08840239461
235	0.08825618694
236	0.08807082642
237	0.08791882808
238	0.08782180722
239	0.0876610891
240	0.08751867644
241	0.0874081063
242	0.08734946735
243	0.08728706388
244	0.08711606535
245	0.08703543956
246	0.0869871923
247	0.08681890931
248	0.08661742709
249	0.08648351393
250	0.08630893363
251	0.08618518152
252	0.08611785538
253	0.08597867885
254	0.08577676858
255	0.08563810017
256	0.08559998152
257	0.08542412585
258	0.08531506617
259	0.08515695301
260	0.08495581452
261	0.08481617144
262	0.08466136743
263	0.08446894996
264	0.08442689709
265	0.08433321398
266	0.08421568764
267	0.08407149575
268	0.08395749333
269	0.0838269247
270	0.08371078925
271	0.08362417031
272	0.08349463495
273	0.08332248979
274	0.08322178978
275	0.08307561405
276	0.08291135375
277	0.08272729626
278	0.08270446409
279	0.08256759996
280	0.08242560192
281	0.08226007312
282	0.08206245836
283	0.08191792342
284	0.08174330794
285	0.08166475068
286	0.08153862692
287	0.08142781924
288	0.08130441575
289	0.08126343427
290	0.08121789478
291	0.08104403956
292	0.08093896627
293	0.08081298017
294	0.08068040794
295	0.08065092028
296	0.08048770421
297	0.08036356965
298	0.08021449335
299	0.08010667901
300	0.07999272834
301	0.07988319032
302	0.07986987808
303	0.0797590814
304	0.0796285651
305	0.07951000382
306	0.07937013965
307	0.07925256243
308	0.07914054237
309	0.07898152479
310	0.07886012931
311	0.07870840782
312	0.07859951136
313	0.07850723311
314	0.07833910665
315	0.07822218728
316	0.07809762508
317	0.07797866437
